,1st,1-prox,2st,2-prox,3st,3-prox,4st,4-prox
0,30,0.004725252713236819,347,0.07149821708484226,451,0.0720777805600143,179,0.0728330366959087
1,347,0.002992323074831713,179,0.0032879800834398018,260,0.004085141401876186,170,0.004457084382225883
2,497,0.2176447520684191,515,0.2870664746474862,143,0.29090002067424603,472,0.29216382723851136
3,183,0.247355224503038,302,0.28977444637455646,35,0.29100564248665833,155,0.2964457054613693
4,248,0.016083813986326464,120,0.07546762112878302,12,0.07599334320144234,373,0.07726480303970407
5,58,0.015916234542764137,389,0.07384506012726064,90,0.07448431870941426,89,0.07531288611271415
6,491,0.2169218862684518,89,0.2172188722758579,340,0.21743248086190978,418,0.21774860209838845
7,350,0.012189031432999336,369,0.020902893150872123,230,0.07219299510601826,222,0.07226956246887799
8,378,0.031223216306152553,31,0.08701766599736718,296,0.08770333091030262,238,0.09202714463122029
9,451,0.07339229822963164,86,0.0735634343906283,411,0.07512895814626346,395,0.0760282219758012
10,186,0.07146618993789441,260,0.07504682459367981,170,0.07566293629511268,1,0.07598475329183395
11,426,0.1461627407839441,314,0.14919403319031627,165,0.20670376340699564,428,0.21685782015486335
12,120,0.07151039368626828,373,0.07324572870790737,4,0.07599334320144234,357,0.07631921739397608
13,69,0.14988371334464407,397,0.1538813393169032,128,0.15787263066700233,190,0.15954357310786654
14,52,0.07417872827021998,243,0.14403102378028393,56,0.14460690429831097,21,0.1448690347633426
15,25,0.0750016612558536,392,0.07533919139711832,267,0.07687691416388796,20,0.08184882049600531
16,293,0.0007719615244293551,340,0.07226719381958027,508,0.08140295323913897,89,0.14335603400387695
17,225,0.28604815738365136,333,0.28789353426953734,215,0.2902959112128376,309,0.2956249800438967
18,7,0.07461137463857483,409,0.07816944684740819,235,0.08140247207071237,134,0.0823592353023334
19,224,0.29485689177936747,45,0.35768509117974645,222,0.3586949674478569,278,0.3593788620866368
20,390,0.006844862623691495,267,0.010124529824151282,92,0.024227542440698087,393,0.07266781417473593
21,124,0.007843948885402012,14,0.1448690347633426,243,0.14492018163103096,39,0.14881812422623814
22,200,0.07176955172755707,372,0.07583340155640006,234,0.07592161694042632,169,0.08089981456252118
23,200,0.15238737531695107,269,0.21382921025930937,192,0.2167750243420142,473,0.21702019204737016
24,491,0.0031245962775480313,422,0.07399366086021493,89,0.0755353886496944,338,0.07641596082444367
25,351,0.013602276193482948,313,0.015878449799718617,312,0.017150346434756193,270,0.019893594310267132
26,47,0.07146459237265014,70,0.07182162922483207,172,0.07280109841457123,135,0.0737714258702178
27,140,0.006120106568790696,451,0.006667218603018216,411,0.009513204911980372,395,0.01227486420367783
28,234,0.08679026586296694,338,0.08748996246549155,372,0.0875426027077727,474,0.08894735226111575
29,420,0.28803086445500053,417,0.2919913115920968,171,0.357556897256741,353,0.35817912901711185
30,0,0.004725252713236819,27,0.07168603286817374,113,0.07192875621432857,376,0.0721177836259083
31,431,0.07460307183686428,233,0.08036983619833664,408,0.08566861313724126,193,0.0868410133360976
